Number,Player,Matchweek,Matchday,Injured,Minutes_Last_Game,Minutes_Prev_3_Games,Minutes_Last_30d,Days_Since_Last_Injury_Related,Days_Since_Last_Injury_Any,age,Pos,Days_Rest,Short_Rest_Flag_le3d,Matches_Last_10d,High_Minute_Flag_10d_3x85,Starts_Last_5,Consecutive_Starts,Rolling_Minutes_7d,Rolling_Minutes_28d,Minutes
30,Rodrigo Bentancur,8,2024-10-19,0,0.0,62.0,260.0,49.0,49.0,28.0,MF,13.0,0.0,1,0.0,4.0,0.0,0.0,250.0,10.0
37,Micky van de Ven,8,2024-10-19,0,0.0,90.0,620.0,40.0,40.0,24.0,DF,5.0,0.0,3,0.0,5.0,10.0,90.0,530.0,90.0
3,Radu Dragusin,9,2024-10-27,0,0.0,0.0,272.0,,,,,,,1,,,,,,0.0
4,Kevin Danso,9,2024-10-27,0,0.0,0.0,180.0,12.0,12.0,27.0,DF,,,2,,,,,,0.0
6,João Palhinha,9,2024-10-27,0,0.0,0.0,279.0,,,30.0,MF,,,3,,,,,,0.0
7,Xavi Simons,9,2024-10-27,1,0.0,0.0,593.0,,0.0,22.0,"FW,MF",,,2,,,,,,0.0
8,Yves Bissouma,9,2024-10-27,0,80.0,80.0,446.0,37.0,37.0,,,8.0,0.0,2,0.0,2.0,2.0,0.0,360.0,86.0
9,Richarlison,9,2024-10-27,0,10.0,10.0,102.0,8.0,8.0,28.0,FW,3.0,1.0,3,0.0,1.0,0.0,63.0,73.0,29.0
10,James Maddison,9,2024-10-27,0,45.0,45.0,364.0,,,,,3.0,1.0,3,0.0,3.0,1.0,72.0,303.0,61.0
11,,9,2024-10-27,0,0.0,0.0,46.0,,,,,,,1,,,,,,0.0
13,Destiny Udogie,9,2024-10-27,0,87.0,87.0,438.0,27.0,27.0,22.0,DF,3.0,1.0,3,0.0,3.0,3.0,90.0,348.0,90.0
14,,9,2024-10-27,0,3.0,3.0,183.0,,,,,,,2,,,,,,0.0
15,Lucas Bergvall,9,2024-10-27,0,0.0,0.0,150.0,,,19.0,MF,,,1,,,,,,0.0
17,Cristian Romero,9,2024-10-27,0,90.0,90.0,540.0,,,27.0,DF,8.0,0.0,2,0.0,2.0,0.0,0.0,450.0,90.0
19,Dominic Solanke,9,2024-10-27,0,80.0,80.0,404.0,48.0,48.0,,,3.0,1.0,3,0.0,2.0,1.0,27.0,314.0,90.0
20,,9,2024-10-27,0,85.0,215.0,395.0,,,,,,,1,,,,,,0.0
21,Dejan Kulusevski,9,2024-10-27,0,90.0,90.0,555.0,,,,,3.0,1.0,3,0.0,2.0,1.0,18.0,494.0,61.0
22,Brennan Johnson,9,2024-10-27,0,90.0,90.0,461.0,,,24.0,FW,3.0,1.0,3,0.0,3.0,1.0,45.0,371.0,90.0
23,,9,2024-10-27,0,90.0,90.0,630.0,,,,,8.0,0.0,2,0.0,5.0,12.0,0.0,540.0,90.0
24,Djed Spence,9,2024-10-27,1,0.0,0.0,45.0,,0.0,25.0,DF,,,0,,,,,,0.0
28,Wilson Odobert,9,2024-10-27,1,0.0,0.0,3.0,4.0,4.0,20.0,"FW,MF",,,1,,,,,,0.0
29,Pape Matar Sarr,9,2024-10-27,0,45.0,45.0,289.0,,,23.0,MF,3.0,1.0,3,0.0,2.0,0.0,18.0,260.0,29.0
30,Rodrigo Bentancur,9,2024-10-27,0,10.0,10.0,272.0,57.0,57.0,28.0,MF,3.0,1.0,3,0.0,3.0,0.0,90.0,268.0,4.0
37,Micky van de Ven,9,2024-10-27,0,90.0,90.0,530.0,48.0,48.0,24.0,DF,8.0,0.0,2,0.0,5.0,11.0,0.0,440.0,90.0
3,Radu Dragusin,10,2024-11-03,0,0.0,0.0,442.0,,,,,4.0,0.0,3,0.0,4.0,5.0,90.0,352.0,90.0
4,Kevin Danso,10,2024-11-03,0,0.0,0.0,270.0,19.0,19.0,27.0,DF,,,2,,,,,,0.0
6,João Palhinha,10,2024-11-03,0,0.0,0.0,422.0,,,30.0,MF,,,3,,,,,,0.0
7,Xavi Simons,10,2024-11-03,1,0.0,0.0,413.0,,0.0,22.0,"FW,MF",,,0,,,,,,0.0
8,Yves Bissouma,10,2024-11-03,0,86.0,166.0,436.0,44.0,44.0,,,4.0,0.0,3,0.0,2.0,0.0,131.0,401.0,35.0
9,Richarlison,10,2024-11-03,1,29.0,39.0,150.0,15.0,15.0,28.0,FW,4.0,0.0,4,0.0,1.0,0.0,51.0,124.0,26.0
10,James Maddison,10,2024-11-03,0,61.0,106.0,271.0,,,,,7.0,0.0,3,0.0,3.0,0.0,61.0,262.0,9.0
11,,10,2024-11-03,0,0.0,0.0,86.0,,,,,,,2,,,,,,0.0
